book_id,title,average_rating,isbn,ratings_count,publisher
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),4.57,0439785960,2095690,Scholastic Inc.
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),4.49,0439358078,2153167,Scholastic Inc.
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),4.42,0439554896,6333,Scholastic
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),4.56,043965548X,2339585,Scholastic Inc.
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),4.78,0439682584,41428,Scholastic
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",3.74,0976540606,19,Nimble Books
10,Harry Potter Collection (Harry Potter  #1-6),4.73,0439827604,28242,Scholastic
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),4.38,0517226952,3628,Gramercy Books
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),4.38,0345453743,249558,Del Rey Books
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),4.22,1400052920,4930,Crown
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),4.22,0739322206,1266,Random House Audio
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),4.38,0517149257,2877,Wings Books
21,A Short History of Nearly Everything,4.21,076790818X,248558,Broadway Books
22,Bill Bryson's African Diary,3.44,0767915062,7270,Broadway Books
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,3.87,0767910435,2088,Broadway Books
24,In a Sunburned Country,4.07,0767903862,72451,Broadway Books
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,3.9,076790382X,49240,Broadway Books
26,The Lost Continent: Travels in Small Town America,3.83,0060920084,45712,William Morrow Paperbacks
27,Neither Here nor There: Travels in Europe,3.86,0380713802,48701,William Morrow Paperbacks
28,Notes from a Small Island,3.91,0380727501,80609,William Morrow Paperbacks
29,The Mother Tongue: English and How It Got That Way,3.93,0380715430,28489,William Morrow Paperbacks
