book_genre_id,genre_id,book_id
1,7,41005
2,5,34641
3,3,21527
4,12,29248
5,12,27724
6,3,7505
7,2,23966
8,6,19125
9,8,43503
10,7,34881
11,2,17352
12,3,13285
13,8,23504
14,7,17075
15,8,2727
16,4,38549
17,5,1720
18,1,6871
19,12,6550
20,6,6870
21,1,24779
22,10,19435
23,12,42143
24,6,20398
25,11,17149
26,11,26748
27,6,44644
28,8,31351
29,4,23788
30,1,5989
31,10,45252
32,5,17781
33,4,83
34,3,43713
35,1,22947
36,6,33001
37,6,24613
38,12,9582
39,3,36573
40,7,36076
41,10,4066
42,11,34002
43,12,16721
44,4,29617
45,10,38835
46,2,14282
47,1,8149
48,9,34443
49,11,6644
50,5,18937
51,12,9921
52,4,20423
53,11,5595
54,11,29589
55,2,24001
56,1,30292
57,8,19078
58,11,24062
59,6,31917
60,3,41304
61,7,3769
62,9,22743
63,11,33837
64,5,32503
65,7,4938
66,12,1373
67,6,35313
68,2,14570
69,1,9577
70,5,25419
71,5,23937
72,5,28294
73,6,12880
74,3,3684
75,11,1911
76,7,8698
77,7,23931
78,4,31262
79,3,17118
80,8,42854
81,1,11095
82,11,10460
83,8,3510
84,12,22082
85,9,25329
86,1,23547
87,11,2680
88,3,33333
89,9,2557
90,1,6545
91,7,38752
92,11,2820
93,8,2059
94,12,9591
95,7,39796
96,4,40384
97,7,38669
98,2,4631
99,3,2025
100,4,34768
101,11,34449
102,1,37540
103,11,2821
104,11,28372
105,7,1911
106,12,43940
107,12,30284
108,11,45626
109,4,5354
110,2,4623
111,1,33458
112,5,40289
113,3,22861
114,4,43438
115,5,41463
116,9,22120
117,7,17061
118,6,41611
119,11,24953
120,8,43486
121,9,5479
122,6,40226
123,2,33577
124,5,23643
125,9,28419
126,8,6149
127,9,16987
128,4,10908
129,9,17150
130,10,5216
131,1,18005
132,4,25743
133,2,13467
134,12,12754
135,5,14378
136,2,3347
137,10,40156
138,9,17208
139,10,22967
140,5,29922
141,1,28078
142,1,21718
143,6,26573
144,10,8489
145,2,30587
146,5,36063
147,8,36158
148,12,14012
149,1,24096
150,3,27923
151,8,33704
152,3,6902
153,7,37707
154,3,12076
155,9,29551
156,2,28480
157,11,1591
158,5,19674
159,5,6572
160,9,40214
161,10,12000
162,2,29582
163,1,30390
164,5,42547
165,3,4023
166,6,18047
167,1,36567
168,3,10495
169,11,44128
170,7,11229
171,7,26229
172,5,28910
173,10,17250
174,9,30712
175,3,1718
176,7,34657
177,6,2967
178,10,40223
179,5,13442
180,12,8834
181,5,38568
182,8,2715
183,6,30458
184,8,34310
185,8,1466
186,12,1226
187,10,8528
188,10,34783
189,11,6310
190,8,42862
191,9,12290
192,5,35439
193,7,10505
194,8,14788
195,10,29999
196,10,34069
197,8,7731
198,11,1586
199,2,90
200,5,31401
201,9,4989
202,12,30626
203,4,35459
204,8,31087
205,9,5364
206,8,5330
207,5,977
208,12,21783
209,4,8632
210,2,37824
211,1,19416
212,4,37905
213,8,41505
214,12,6459
215,4,17313
216,8,30384
217,10,42878
