library_book_id,library_id,book_id,qty
1,6,23257,84
2,10,22283,40
3,2,2702,10
4,5,7477,20
5,1,475,2
6,3,16033,69
7,4,13020,33
8,1,44781,55
9,9,22626,52
10,5,79,81
11,8,29367,28
12,5,7263,72
13,9,11772,7
14,4,31864,26
15,7,33718,45
16,1,12293,19
17,1,24970,17
18,7,28389,55
19,6,7733,34
20,6,26123,17
21,3,43101,23
22,4,10964,8
23,1,13493,52
24,8,26860,56
25,7,30985,44
26,2,3303,91
27,8,42802,81
28,4,9416,18
29,5,7894,75
30,8,3564,56
31,10,32649,36
32,8,23186,14
33,8,15888,12
34,1,39518,87
35,1,30399,60
36,2,45334,16
37,5,8508,32
38,4,9696,75
39,4,31300,28
40,8,18846,13
41,6,6992,6
42,10,35848,95
43,6,8706,71
44,9,17259,99
45,6,23932,21
46,10,22726,96
47,5,3424,69
48,9,18282,44
49,1,25005,2
50,4,30586,31
51,1,66,40
52,7,45085,39
53,6,29154,37
54,6,43110,89
55,9,44450,5
56,3,43918,83
57,2,11502,1
58,10,8233,91
59,10,14069,96
60,2,27540,46
61,7,1744,49
62,4,1937,76
63,5,10879,22
64,10,12622,8
65,9,23588,2
66,6,19397,58
67,9,25848,90
68,6,29069,12
69,3,15044,75
70,1,13890,43
71,8,41908,9
72,4,11376,56
73,5,28239,87
74,4,12047,29
75,8,10603,33
76,6,1728,11
77,5,44533,27
78,9,39773,88
79,7,34517,16
80,2,21073,30
81,3,3023,48
82,1,16543,76
83,1,5513,58
84,6,16371,100
85,7,14492,56
86,2,33993,9
87,8,18880,44
88,7,42210,60
89,1,26047,11
90,1,28093,13
91,1,9571,81
92,9,31615,10
93,4,12571,38
94,7,35456,66
95,10,25789,52
96,9,27049,82
97,7,33032,55
98,7,28568,77
99,8,24601,32
100,8,8548,85
101,5,12300,46
102,2,40478,67
103,10,22867,14
104,10,24658,14
105,3,38465,93
106,4,27023,80
107,9,11723,52
108,9,8627,98
109,6,16330,8
110,10,4922,86
111,9,16006,72
112,7,35963,47
113,9,27674,44
114,6,8494,1
115,10,35419,92
116,1,31487,19
117,8,18835,27
118,9,5691,57
119,9,40718,6
120,3,14060,10
121,7,32124,96
122,7,25246,76
123,10,22499,53
124,2,4945,7
125,3,155,56
126,2,14143,65
127,7,5452,54
128,4,11119,92
129,7,33013,83
130,1,44545,68
131,2,12950,26
132,7,37170,35
133,1,36313,23
134,6,31092,5
135,1,17468,25
136,3,5518,4
137,1,18404,69
138,6,38549,80
139,6,41193,97
140,1,29254,86
141,9,9652,60
142,5,466,49
143,7,32500,70
144,9,25375,27
145,4,10597,18
146,6,12022,83
147,2,21187,11
148,2,36317,61
149,5,8891,81
150,2,8044,54
151,9,444,89
152,4,30258,42
153,5,5255,68
154,6,11137,58
155,1,3797,6
156,3,43130,52
157,7,5907,98
158,10,32640,54
159,7,15967,4
160,8,23475,76
161,7,17356,87
162,8,2186,64
163,10,42146,33
164,8,21895,25
165,4,29923,83
166,2,1796,17
167,6,14183,47
168,6,99,36
169,2,7662,30
170,4,16946,95
171,6,28836,97
172,2,9423,18
173,7,2109,15
174,4,3833,94
175,4,12618,94
176,6,13829,51
177,6,2958,35
178,9,20179,83
179,9,24566,75
180,3,40226,84
181,5,43675,46
182,8,26599,46
183,3,3025,44
184,4,34495,73
185,9,21495,99
186,3,32144,63
187,1,15058,23
188,2,25489,78
189,7,4944,14
190,8,4953,1
191,6,22826,84
192,5,8628,81
193,2,29625,9
194,1,13241,15
195,5,18140,98
196,7,19090,12
197,1,14241,95
198,10,35578,82
199,8,24958,93
200,10,42662,11
201,10,32966,23
202,6,8495,18
203,1,16021,18
204,7,26973,94
205,1,8282,5
206,3,33445,55
207,7,5240,81
208,1,39027,97
209,6,27419,48
210,2,33353,100
211,9,15378,94
212,4,17639,52
213,9,25804,70
214,6,1504,68
215,8,43817,45
216,9,37169,56
217,6,24308,28
218,7,6635,25
219,8,40483,90
220,9,10224,7
221,4,37139,49
222,5,17654,16
223,2,3107,28
224,2,26438,3
225,10,19398,60
226,6,21353,15
227,10,41053,49
228,5,15610,41
229,7,17179,34
230,4,15174,27
231,2,5294,47
232,9,12564,35
233,8,17877,52
234,3,29075,76
235,2,6459,13
236,1,29741,24
237,9,9921,60
238,10,23937,63
239,1,7772,62
240,7,8548,5
241,6,1955,60
242,9,30289,27
243,8,43905,89
244,2,10711,50
245,6,25295,82
246,9,34530,28
247,9,10767,43
248,6,10780,3
249,1,3291,57
250,4,35462,83
251,5,1566,68
252,4,40081,52
253,3,12589,91
254,10,21093,100
255,10,26904,73
256,6,21746,2
257,9,34662,40
258,7,28850,73
259,1,21624,74
260,6,7370,15
261,10,9595,82
262,7,7214,34
263,7,13913,47
264,2,7670,75
265,10,41666,51
266,1,29923,92
267,3,17961,7
268,1,24213,13
269,3,33331,61
270,5,29052,76
271,8,34,49
272,5,2068,46
273,1,43475,40
274,2,4900,79
275,2,45442,40
276,10,30290,58
277,4,7723,19
278,5,13538,79
279,7,7140,23
280,8,41092,78
281,6,41304,96
282,2,30104,40
283,8,38150,24
284,6,14046,68
285,6,25473,96
286,4,655,27
287,3,15168,78
288,2,23454,4
289,1,21143,79
290,10,394,22
291,1,43371,31
292,1,30143,68
293,9,43081,94
294,6,12993,46
295,2,31095,12
296,3,23900,74
297,1,43641,28
298,10,39872,80
299,2,12117,74
300,9,11635,43
301,7,35927,22
302,8,29128,29
303,6,21329,92
304,1,30065,81
305,4,180,66
306,8,15174,17
307,5,37186,34
308,9,38340,92
309,7,44158,95
310,8,24949,20
311,3,23315,35
312,8,35125,73
313,7,33732,21
314,10,13931,31
315,10,22239,18
316,10,12074,61
317,1,27486,89
318,1,34901,80
319,10,11571,67
320,3,14964,57
321,9,6220,97
322,9,31880,13
323,3,12961,6
324,6,32980,51
325,10,26097,54
326,6,7534,40
327,7,30298,15
328,10,38549,85
329,9,18981,30
330,8,28664,19
331,2,12090,58
332,3,28543,10
333,10,41784,96
334,3,27313,11
335,1,40106,54
336,6,44215,64
337,5,14851,57
338,7,45531,39
339,2,36636,31
340,1,15678,30
341,7,12841,42
342,8,12615,34
343,6,7708,96
344,9,32831,40
345,3,24284,68
346,3,12256,4
347,9,28597,8
348,4,18241,12
349,4,18879,73
